Year,Mileage,City,State,Vin,Make,Model
2012,67196,Sacramento, CA,WBAKA4C57CDS99260,BMW,7
2010,67003,Oakhurst, NJ,2T2BK1BA8AC024824,Lexus,RX
2012,96616,Tampa, FL,KNAGM4A71C5274754,Kia,Optima4dr
2012,76238,Boulder, CO,2GNFLGE59C6297108,Chevrolet,EquinoxAWD
2014,54796,Dallas, TX,JM3KE2CY9E0418336,Mazda,CX-5Touring
2007,147427,Ocoee, FL,WDDNG86X87A127755,Mercedes-Benz,S-Class4dr
2017,30076,San Mateo, CA,KMHD74LF9HU083352,Hyundai,Elantra4dr
2012,11474,Union City, GA,1G1PC5SHXC7286174,Chevrolet,CruzeSedan
2013,95815,Buckner, KY,1FTFX1CF7DKD22138,Ford,F-150SuperCab
2013,90119,Raleigh, NC,4T1BF1FK3DU720618,Toyota,CamryLE
2015,51733,Anchorage, AK,1FADP3F25FL307474,Ford,FocusSedan
2007,101709,El Cajon, CA,4JGCB65EX7A038690,Mercedes-Benz,R-Class4WD
2013,53420,San Antonio, TX,1VWBN7A37DC010344,Volkswagen,PassatTDI
2014,28971,Santa Clara, CA,5N1AL0MM3EC535592,INFINITI,QX60AWD
2010,70912,Ardmore, PA,2HNYD2H65AH510668,Acura,MDXAWD
2016,32806,Surprise, AZ,1G11B5SAXGU104220,Chevrolet,Malibu
2012,134117,Columbus, MS,4T1BK1FKXCU006317,Toyota,Camry4dr
2013,67061,Las Vegas, NV,3TMLU4ENXDM109923,Toyota,TacomaDouble
2015,22293,Clinton, NJ,1HGCR3F8XFA013277,Honda,Accord
2014,37903,Memphis, TN,KNAFZ6A30E5247652,Kia,Forte
2013,77773,Anderson, IN,2C3CDXBG4DH711002,Dodge,ChargerSE
2007,98759,North Huntingdon, PA,1HGCM56367A159126,Honda,Accord
2015,36779,Aiea, HI,1GNSCJKC4FR268901,Chevrolet,Suburban2WD
2008,118086,Crittenden, KY,2GTEK13C981178713,GMC,Sierra
2016,35391,Alhambra, CA,1FATP8EM9G5334839,Ford,MustangConvertible
2016,28244,Cambridge, MN,1FADP3F21GL234234,Ford,FocusSedan
2015,59664,Concord, CA,KNAGM4A73F5604432,Kia,OptimaLX
2017,20626,ONTARIO, CA,1GNSCBKC2HR236599,Chevrolet,TahoeLT
2015,44566,San Leandro, CA,NM0LS7F70F1195652,Ford,Transit
2014,31968,Randallstown, MD,JTMRFREV8ED050157,Toyota,RAV44X4
2008,133800,Mooresville, NC,1GCEC14X48Z264940,Chevrolet,Silverado
2015,35802,Chandler, AZ,2HGFB2E51FH523036,Honda,Civic
2008,110711,Seymour, CT,19UUA66258A015062,Acura,TL4dr
2002,109343,Honolulu, HI,JM3LW28A320302591,Mazda,MPV4dr
2017,22513,Vero Beach, FL,1FMCU9G99HUB46293,Ford,Escape4WD
2017,19026,Fort Walton, FL,1C6RR6GT0HS645321,Ram,1500SLT
2012,64756,Houston, TX,5XXGN4A78CG036718,Kia,Optima4dr
2016,9605,Orange, CA,3N1AB7AP2GY294152,Nissan,SentraSV
2014,61624,Brooklyn, NY,1C4RJFBG9EC377692,Jeep,Grand
2015,87538,Smithfield, RI,2G1115SL2F9156375,Chevrolet,Impala1LT
2013,117841,Medford, OR,1FTFW1EF9DKD50197,Ford,F-150SuperCrew
2012,49505,Katy, TX,JTHBF5C21C5175882,Lexus,IS
2001,209681,Tacoma, WA,4S3BE686417207568,Subaru,Legacy
2014,34551,Brooklyn, NY,1N4AL3AP5EC102480,Nissan,Altima2.5
2014,33798,Encinitas, CA,1VWCN7A3XEC098795,Volkswagen,PassatTDI
2005,90320,Jarrettsville, MD,1J4FA44S15P384695,Jeep,Wrangler2dr
2015,65402,Belleville, WI,2LMDJ8JK8FBL20803,Lincoln,MKXAWD
2014,34932,North Salt Lake, UT,3C3CFFGE7ET244906,FIAT,500eBATTERY
2006,54932,Edgewater Park, NJ,2B3LA73W66H412710,Dodge,Charger4dr
2014,28192,Trevose, PA,KL4CJESB3EB629375,Buick,EncoreAWD
2015,52730,Franklin, TN,1C4NJPBAXFD397817,Jeep,PatriotAltitude
2014,72953,Miami Gardens, FL,1HGCR2F34EA057000,Honda,Accord
2013,90661,Jefferson City, MO,3FA6P0HR6DR323831,Ford,FusionSE
2015,14535,San Jose, CA,3MZBM1U70FM223328,Mazda,Mazda3i
2013,69926,Raleigh, NC,JTLZE4FE6DJ035519,Scion,xBAutomatic
2008,97366,Old Hickory, TN,2HGFA16878H312822,Honda,Civic
2012,71293,Lexington, NC,1GNKRLED0CJ417555,Chevrolet,TraverseFWD
2016,40329,Pensacola, FL,4T1BD1FK8GU195095,Toyota,Camry
2013,77137,Overland Park, KS,2GNALPEK5D6346273,Chevrolet,EquinoxFWD
2013,79140,Memphis, TN,5NPDH4AE3DH362070,Hyundai,ElantraGLS
2016,22576,Chesapeake, VA,1G1PG5SB2G7122567,Chevrolet,Cruze
2015,26941,Pasadena, CA,SAJWA0FS0FPU60700,Jaguar,XFPremium
2016,20696,East Hanover, NJ,3C6UR5GJXGG267663,Ram,25004WD
2015,25377,Myrtle Beach, SC,1FMCU0J91FUA37554,Ford,EscapeFWD
2007,74804,Shelby, NC,1N4BL21E17N421623,Nissan,Altima4dr
2014,26964,Tallassee, AL,1FTFW1EF2EKE93512,Ford,F-1504WD
